k,n_ann,minority,delta,rep,simulation,method,stat,pvalue,detected
3,9,0.3333333333333333,0.0,12,unidirectional,chi-squared (Akhtar et al. 2019),7.066633688515198,0.5294607818294317,0
3,9,0.3333333333333333,0.0,12,unidirectional,GMM clustering (Checco/Mignemi),-0.05,1.0,0
3,9,0.3333333333333333,0.0,12,bidirectional,apunim,-0.09363588941053731,6.820221813983174e-06,1
3,9,0.3333333333333333,0.0,12,bidirectional,Krippendorff delta-alpha,0.020512282408657913,0.23880597014925373,0
3,9,0.3333333333333333,0.0,12,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,12,bidirectional,chi-squared (Akhtar et al. 2019),4.191436992364217,0.8394513586473997,0
3,9,0.3333333333333333,0.0,12,bidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,13,unidirectional,apunim,0.12669913498582547,8.395813885284922e-08,1
3,9,0.3333333333333333,0.0,13,unidirectional,Krippendorff delta-alpha,0.046832876254233824,0.024875621890547265,1
3,9,0.3333333333333333,0.0,13,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,13,unidirectional,chi-squared (Akhtar et al. 2019),8.576901277255836,0.3792341161337474,0
3,9,0.3333333333333333,0.0,13,unidirectional,GMM clustering (Checco/Mignemi),-0.11764705882352941,1.0,0
3,9,0.3333333333333333,0.0,13,bidirectional,apunim,0.10603682032253463,1.3299252595634988e-06,1
3,9,0.3333333333333333,0.0,13,bidirectional,Krippendorff delta-alpha,-0.007512779677872154,0.6069651741293532,0
3,9,0.3333333333333333,0.0,13,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,13,bidirectional,chi-squared (Akhtar et al. 2019),26.80916384664532,0.0007626677371747087,1
3,9,0.3333333333333333,0.0,13,bidirectional,GMM clustering (Checco/Mignemi),0.05555555555555555,0.7213930348258707,0
3,9,0.3333333333333333,0.0,14,unidirectional,apunim,0.0815682739972962,0.0002936463436055693,1
