n_ann,minority,delta,rep,simulation,method,stat,pvalue,detected
80,0.5,0.0,13,bidirectional,chi-squared (Akhtar et al. 2019),7.310758105975115,0.12034944619782058,0
80,0.5,0.0,13,bidirectional,GMM clustering (Checco/Mignemi),0.018267913371631854,0.17412935323383086,0
80,0.5,0.0,14,unidirectional,apunim,0.005931044636538581,1.0,0
80,0.5,0.0,14,unidirectional,Krippendorff delta-alpha,0.0003679062830495017,0.39303482587064675,0
80,0.5,0.0,14,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,14,unidirectional,chi-squared (Akhtar et al. 2019),2.2258213277397734,0.6943048113821697,0
80,0.5,0.0,14,unidirectional,GMM clustering (Checco/Mignemi),-9.59048623765225e-05,0.4527363184079602,0
80,0.5,0.0,14,bidirectional,apunim,-0.032685833267422484,7.954013980673887e-05,1
80,0.5,0.0,14,bidirectional,Krippendorff delta-alpha,0.0005220316271342673,0.2835820895522388,0
80,0.5,0.0,14,bidirectional,aposteriori unimodality (2024),0.006060606060606061,0.33663366336633666,0
80,0.5,0.0,14,bidirectional,chi-squared (Akhtar et al. 2019),0.6786449832297091,0.9539360829477217,0
80,0.5,0.0,14,bidirectional,GMM clustering (Checco/Mignemi),-0.01230138390568939,1.0,0
80,0.5,0.0,15,unidirectional,apunim,-0.028861082027547474,0.005840226761049702,1
80,0.5,0.0,15,unidirectional,Krippendorff delta-alpha,-0.0015098059654792828,0.8407960199004975,0
80,0.5,0.0,15,unidirectional,aposteriori unimodality (2024),0.005649717514124294,0.44554455445544555,0
80,0.5,0.0,15,unidirectional,chi-squared (Akhtar et al. 2019),6.426300976569065,0.16949365509272948,0
80,0.5,0.0,15,unidirectional,GMM clustering (Checco/Mignemi),0.0036514762053474906,0.3582089552238806,0
80,0.5,0.0,15,bidirectional,apunim,0.01642739612774085,0.25567257128235854,0
80,0.5,0.0,15,bidirectional,Krippendorff delta-alpha,-0.0014405522874487153,0.8606965174129353,0
80,0.5,0.0,15,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,15,bidirectional,chi-squared (Akhtar et al. 2019),1.3800674984811776,0.8476518764432008,0
80,0.5,0.0,15,bidirectional,GMM clustering (Checco/Mignemi),-0.005310937812437512,0.681592039800995,0
80,0.5,0.0,16,unidirectional,apunim,-0.02633593346354649,0.011167841726378724,1
80,0.5,0.0,16,unidirectional,Krippendorff delta-alpha,0.0020786884242630643,0.05970149253731343,0
