,SDB Feature,Value,apunim,pvalue,support,Model,Prompt
111,Ethnicity,middleEastern,0.0,,6,qwen32b,persona
112,Ethnicity,white,0.0,,4,qwen32b,persona
113,Gender,man,0.041095890410959034,0.9700658941547058,16,qwen32b,persona
114,Gender,nonBinary,-0.0072202166064982,0.9789892587156424,17,qwen32b,persona
115,Gender,woman,-0.05838041431261795,0.9700658941547058,30,qwen32b,persona
116,Age,1) Gen. X+,-0.00176159718144423,0.9658018894595121,91,qwen7b,persona
117,Age,2) Millennial,-0.024860694384912056,0.8439733847652342,144,qwen7b,persona
118,Age,3) Gen. Z,0.06961566352429305,0.6320735972899896,81,qwen7b,persona
119,Ethnicity,black,-0.034149706795446766,0.9970373402368966,28,qwen7b,persona
120,Ethnicity,hisp,0.0,,15,qwen7b,persona
121,Ethnicity,middleEastern,2.0673118389571882e-16,0.9970373402368966,29,qwen7b,persona
122,Ethnicity,other,-0.015280135823429441,0.9970373402368966,33,qwen7b,persona
123,Ethnicity,white,-0.026425591098748195,0.9970373402368966,25,qwen7b,persona
124,Gender,man,-0.026192075218267264,0.7230991880205997,111,qwen7b,persona
125,Gender,nonBinary,0.02105934907466499,0.7230991880205997,82,qwen7b,persona
126,Gender,woman,0.0600238505366372,0.7230991880205997,79,qwen7b,persona
127,Age,1) Gen. X+,0.07344632768361575,0.8169036526333496,34,llama70b,single
128,Age,2) Millennial,0.01283880171184045,0.8169036526333496,50,llama70b,single
129,Age,3) Gen. Z,0.01887923284387182,0.8169036526333496,38,llama70b,single
130,Ethnicity,black,0.0,,6,llama70b,single
131,Ethnicity,hisp,0.0,,12,llama70b,single
132,Ethnicity,middleEastern,1.0408340855860843e-16,0.9531631078979916,16,llama70b,single
133,Ethnicity,other,0.0,,12,llama70b,single
134,Ethnicity,white,4.996003610813206e-16,0.9531631078979916,11,llama70b,single
135,Gender,man,0.006864988558352477,0.9923475609774757,41,llama70b,single
136,Gender,nonBinary,-0.00798451488023181,0.9923475609774757,47,llama70b,single
137,Gender,woman,-0.07749077490774886,0.8032554105352522,38,llama70b,single
138,Age,1) Gen. X+,0.06521739130434785,0.7806379681797606,171,olmo32b,single
139,Age,2) Millennial,-0.033412199203646624,0.7806379681797606,208,olmo32b,single
140,Age,3) Gen. Z,-0.03288201160541563,0.7806379681797606,150,olmo32b,single
141,Ethnicity,black,0.0036496350364962505,0.9436363910157342,45,olmo32b,single
142,Ethnicity,hisp,0.0,0.9436363910157342,31,olmo32b,single
143,Ethnicity,middleEastern,-0.002493765586034763,0.9436363910157342,55,olmo32b,single
144,Ethnicity,other,0.0,0.9436363910157342,39,olmo32b,single
145,Ethnicity,white,2.3169871818264136e-16,0.9436363910157342,26,olmo32b,single
146,Gender,man,-0.007889074826679289,0.9577841192676917,208,olmo32b,single
147,Gender,nonBinary,0.06959021324954913,0.6029527559688947,171,olmo32b,single
148,Gender,woman,-0.04604336806533358,0.7100427687516172,158,olmo32b,single
149,Age,1) Gen. X+,1.0408340855860843e-16,0.9531631078979916,16,qwen32b,single
150,Age,2) Millennial,-0.00409276944065472,0.9531631078979916,38,qwen32b,single
151,Age,3) Gen. Z,0.029480580252690604,0.9531631078979916,23,qwen32b,single
152,Ethnicity,black,0.0,,6,qwen32b,single
153,Ethnicity,hisp,0.0,,3,qwen32b,single
154,Ethnicity,middleEastern,-2.220446049250313e-16,0.5000000000000006,7,qwen32b,single
155,Ethnicity,other,0.0,,3,qwen32b,single
156,Ethnicity,white,1.6653345369377353e-16,,4,qwen32b,single
157,Gender,man,-0.02755267423014582,0.9913516015244714,22,qwen32b,single
158,Gender,nonBinary,0.1669658886894077,0.7503595078874062,14,qwen32b,single
159,Gender,woman,0.17211597779148655,0.7503595078874062,19,qwen32b,single
160,Age,1) Gen. X+,-0.004822781903084926,0.9224429097658229,130,qwen7b,single
161,Age,2) Millennial,-0.0558120016785559,0.9224429097658229,87,qwen7b,single
162,Age,3) Gen. Z,0.0006901311249136882,0.9224429097658229,48,qwen7b,single
163,Ethnicity,black,0.032110091743119296,0.9656646475505195,24,qwen7b,single
164,Ethnicity,hisp,-0.02585237916822775,0.9656646475505195,26,qwen7b,single
165,Ethnicity,middleEastern,-0.03846153846153842,0.9656646475505195,22,qwen7b,single
166,Ethnicity,other,-0.09018987341772142,0.9656646475505195,23,qwen7b,single
167,Ethnicity,white,1.959217102279688e-16,0.9656646475505195,17,qwen7b,single
168,Gender,man,0.024454725710509016,0.7600328773590816,100,qwen7b,single
169,Gender,nonBinary,0.032524522457408445,0.7600328773590816,73,qwen7b,single
170,Gender,woman,-0.03799903799903774,0.7600328773590816,73,qwen7b,single
171,Age,1) Gen. X+,0.04876769795490307,0.6613909885229021,21,llama70b,direct
172,Age,2) Millennial,0.1263897015798715,0.6613909885229021,41,llama70b,direct
173,Age,3) Gen. Z,-0.23076923076923078,0.6613909885229021,6,llama70b,direct
174,Ethnicity,black,0.0,,3,llama70b,direct
175,Ethnicity,hisp,0.0,,6,llama70b,direct
176,Ethnicity,middleEastern,0.0,,3,llama70b,direct
177,Ethnicity,other,0.0,,9,llama70b,direct
178,Ethnicity,white,1.9032394707859828e-16,0.9394610148546669,14,llama70b,direct
179,Gender,man,-0.05443393815486833,0.8633055163156987,40,llama70b,direct
180,Gender,nonBinary,-0.02815013404825731,0.8905277488711405,15,llama70b,direct
181,Gender,woman,0.04553119730185512,0.8633055163156987,32,llama70b,direct
182,Age,1) Gen. X+,0.00518806744487696,0.9983066509275201,108,olmo32b,direct
183,Age,2) Millennial,-0.02812714383718252,0.9983066509275201,97,olmo32b,direct
184,Age,3) Gen. Z,-0.015571863253982335,0.9983066509275201,77,olmo32b,direct
185,Ethnicity,black,0.05708245243129016,0.9519566973309836,33,olmo32b,direct
186,Ethnicity,hisp,-0.07264296754250399,0.9519566973309836,25,olmo32b,direct
187,Ethnicity,middleEastern,-0.09194097616345082,0.9519566973309836,16,olmo32b,direct
188,Ethnicity,other,0.08499095840867991,0.9519566973309836,16,olmo32b,direct
189,Ethnicity,white,0.0,0.9519566973309836,17,olmo32b,direct
190,Gender,man,0.07621736062103023,0.8162374383471188,103,olmo32b,direct
191,Gender,nonBinary,0.0018077734257305833,0.8966728682709361,90,olmo32b,direct
192,Gender,woman,0.036660716737608116,0.8162374383471188,77,olmo32b,direct
193,Age,1) Gen. X+,0.06921778277996637,0.7784161911432919,19,qwen32b,direct
194,Age,2) Millennial,-0.06716417910447744,0.8912089568231962,36,qwen32b,direct
195,Age,3) Gen. Z,0.1897307451471507,0.7784161911432919,16,qwen32b,direct
196,Ethnicity,black,-0.07834101382488476,0.9999999999999997,6,qwen32b,direct
197,Ethnicity,middleEastern,0.1478730587440919,0.4841001705745982,14,qwen32b,direct
198,Ethnicity,other,0.0,0.9999999999999997,6,qwen32b,direct
199,Ethnicity,white,0.0,,8,qwen32b,direct
200,Gender,man,0.0,0.9552192743284109,21,qwen32b,direct
201,Gender,nonBinary,-0.032258064516128705,0.9552192743284109,22,qwen32b,direct
202,Gender,woman,-0.05956112852664578,0.9552192743284109,9,qwen32b,direct
203,Age,1) Gen. X+,-0.03386886669561426,0.7478331190305201,95,qwen7b,direct
204,Age,2) Millennial,-0.03333333333333308,0.7478331190305201,107,qwen7b,direct
205,Age,3) Gen. Z,0.08492599511424063,0.7478331190305201,73,qwen7b,direct
206,Ethnicity,black,0.023778071334214057,0.96499688929728,28,qwen7b,direct
207,Ethnicity,hisp,9.992007221626408e-17,0.96499688929728,10,qwen7b,direct
208,Ethnicity,middleEastern,-0.041533546325878565,0.96499688929728,26,qwen7b,direct
209,Ethnicity,other,-0.08256880733944962,0.96499688929728,16,qwen7b,direct
210,Ethnicity,white,0.0,0.96499688929728,21,qwen7b,direct
211,Gender,man,0.021517061508368008,0.7939517429789749,109,qwen7b,direct
212,Gender,nonBinary,-0.02891670263271471,0.7939517429789749,82,qwen7b,direct
213,Gender,woman,-0.03455284552845525,0.7939517429789749,58,qwen7b,direct
