Dataset,Model,PC Dimension,F,p_raw,n_prompts_compared,n_total_obs,cohens_d_stereotype_vs_default,cohens_d_persona_vs_default,cohens_d_single_vs_default,cohens_d_direct_vs_default,p_corrected,reject_null
Kumar et al. 2021,olmo32b,Is Transgender: No,12.45917230632863,4.4284074213866863e-10,5,4534,0.024403027633644762,0.1720246415291109,0.2964645022957899,0.16193199663937297,1.2488108928310456e-07,True
Kumar et al. 2021,olmo32b,Is Transgender: Prefer not to say,10.603203598824583,1.5002518142238796e-08,5,4474,0.017579472070109473,0.1710084622910186,0.26647595028961235,0.15286063539246864,4.086588899410976e-06,True
Kumar et al. 2021,olmo32b,Is Transgender: Yes,11.7398357721188,1.7380746609639209e-09,5,4520,0.028064478128695163,0.17330642377335267,0.2869750907522776,0.1649456065513548,4.81446681087006e-07,True
Kumar et al. 2021,olmo32b,Political Affiliation: Conservative,10.613049349044468,1.4969190107732513e-08,5,3788,-0.00365227164285543,0.1715588393669524,0.2795866446481214,0.13332976381724107,4.086588899410976e-06,True
Kumar et al. 2021,olmo32b,Political Affiliation: Independent,8.857179267183573,4.0854170608812343e-07,5,3748,0.02033259991244034,0.16130618428389443,0.2725519337427816,0.14467322111670253,0.00010133896044810692,True
Kumar et al. 2021,olmo32b,Political Affiliation: Liberal,8.689434266929164,5.610061995614606e-07,5,3612,0.037250570361171166,0.16145355226354183,0.28576577317842167,0.16753332372457982,0.00013351947549562762,True
Kumar et al. 2021,olmo32b,Political Affiliation: Other,6.283930293311187,4.903484298018799e-05,5,3610,0.029917540203700015,0.1851573444071227,0.21736332762503954,0.132703529890103,0.008384958149612147,True
Kumar et al. 2021,olmo32b,Political Affiliation: Prefer not to say,9.444590792247702,1.359564472918783e-07,5,3623,0.011346708823361182,0.17246486058221275,0.27820198143697605,0.14811266243159163,3.5212719848596476e-05,True
Kumar et al. 2021,olmo32b,Religion Important: 1) No,10.186418652933567,3.369409034032168e-08,5,3568,0.04890120763805111,0.16386131207460547,0.31225742099342807,0.20360150098624083,9.097404391886854e-06,True
Kumar et al. 2021,olmo32b,Religion Important: 2) Not very,9.907348409572165,5.6782156450611875e-08,5,3714,-0.003498129135840763,0.17646201979243872,0.26695382858635286,0.1491454060966278,1.5047271459412147e-05,True
Kumar et al. 2021,olmo32b,Religion Important: 3) Somewhat,9.669054931523775,8.90079905545152e-08,5,3681,0.027241861833767006,0.18182046331812543,0.2832120585864021,0.1633176969403024,2.3320093525282984e-05,True
Kumar et al. 2021,olmo32b,Religion Important: 4) Very,10.919137049819737,8.390608324091528e-09,5,3803,0.032556744981401875,0.16834441943448716,0.30966430627367686,0.1632762748826072,2.30741728912517e-06,True
Kumar et al. 2021,olmo32b,Religion Important: Prefer not to say,9.124474223073042,2.474705088900769e-07,5,3733,0.011951816312249553,0.17687408919683614,0.2663341938329347,0.13187909269774323,6.31049797669696e-05,True
Kumar et al. 2021,olmo32b,Seen Toxicity: False,12.362590277662198,5.270352531463398e-10,5,4919,0.01957660933164219,0.1741609741023905,0.2759346699413385,0.1571290261903195,1.4756987088097514e-07,True
Kumar et al. 2021,olmo32b,Seen Toxicity: True,12.610458491122793,3.2885702636535267e-10,5,4910,0.028326199012417085,0.17610923261030342,0.2848194873352291,0.15911159326095078,9.306653846139481e-08,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Bisexual,8.744817674895694,5.046780943272606e-07,5,3714,0.026955524642637622,0.15935782469923143,0.27747389248645343,0.14063632710001442,0.00012061806454421527,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Heterosexual,8.9511897616815,3.428834369849468e-07,5,3692,-0.015478768317857943,0.1488625745335425,0.2548271041380195,0.12990456551388632,8.572085924623669e-05,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Homosexual,10.137584507593994,3.684893060392956e-08,5,3658,0.04147989922757156,0.173816141995622,0.30763912518715864,0.17179154571830305,9.912362332457052e-06,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Other,8.420378830166392,9.277114305951503e-07,5,3646,0.009918188033614715,0.16142862143911751,0.25901465785339756,0.1574300081855538,0.00021522905189807486,True
Kumar et al. 2021,olmo32b,Sexual Orientation: Prefer not to say,9.673219419427616,8.833057165493059e-08,5,3673,0.03325393495036136,0.17342455696574594,0.29303178252622963,0.17416374700872794,2.3230940345246744e-05,True
Kumar et al. 2021,olmo32b,Technology Impact: 1) Very negative,9.388285944468116,1.511160888303377e-07,5,3628,0.025935165662934394,0.17392021037929223,0.28432424895477026,0.17240930750332056,3.883683482939679e-05,True
Kumar et al. 2021,olmo32b,Technology Impact: 2) Somewhat negative,8.829360776657262,4.301856390240381e-07,5,3776,0.03710961107908194,0.1840089995426017,0.27090267586409456,0.1649454488240958,0.00010571341647525281,True
Kumar et al. 2021,olmo32b,Technology Impact: 3) Neutral,8.769197050142942,4.817695067715285e-07,5,3753,0.03694780757435964,0.17347291979932583,0.277228420746337,0.16497420997914675,0.00011610645113193838,True
Kumar et al. 2021,olmo32b,Technology Impact: 4) Somewhat positive,9.731052957228826,7.894619355522439e-08,5,3817,0.013040695080631343,0.1570247286929541,0.27906157544186916,0.1493958266114168,2.084179509857924e-05,True
Kumar et al. 2021,olmo32b,Technology Impact: 5) Very positive,11.432913665165113,3.1885356039029054e-09,5,3668,-0.001717848034306152,0.1816960499379205,0.2947985340160334,0.16537100618087228,8.800358266772019e-07,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 1) Never,8.957720548819077,3.3873627408555113e-07,5,3688,0.07184299918298065,0.18529578430868637,0.3023090833199412,0.1599976022874716,8.502280479547333e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 2) Rarely,9.418044477893874,1.427269473645249e-07,5,3678,0.062182662037430975,0.18174849477111787,0.2968868337948537,0.18909819638089473,3.682355242004742e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 3) Occasionally,9.567325509335543,1.0792391623237181e-07,5,3628,0.03437048320339523,0.18130314817932341,0.2759496184143964,0.20075265021413963,2.816814213664904e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 4) Frequently,9.451815559372747,1.340738981573626e-07,5,3638,0.06830788434933088,0.20094969852712877,0.2996749220945853,0.1848495647675851,3.4859213520914274e-05,True
Kumar et al. 2021,olmo32b,Toxicity Problem: 5) Very Frequently,8.585901493894191,6.7962858535359e-07,5,3719,-0.0084237952155062,0.16013863156909908,0.2468892530520816,0.1344548454932044,0.00015971271755809365,True
Kumar et al. 2021,qwen32b,Age: 1) 18 - 24,3.048204111738875,0.016128600539117303,5,2760,-0.002161696443962305,0.10743199284890001,0.16718442188564933,0.11767018401890174,0.6290154210255748,False
Kumar et al. 2021,qwen32b,Age: 2) 25 - 34,1.8305936888494834,0.12014174904060818,5,2700,0.004543083335639405,0.12223519644363245,0.10017491761558288,0.09707086659006167,1.0,False
Kumar et al. 2021,qwen32b,Age: 3) 35 - 44,2.9643744570829917,0.018611323297803475,5,2749,0.016927802798735958,0.14518334195461796,0.16504862646883267,0.1196672412531847,0.6700076387209251,False
Kumar et al. 2021,qwen32b,Age: 4) 45 - 54,4.315558018419534,0.0017560983071210066,5,2744,0.034875379588834236,0.12319910524084773,0.18067600195483827,0.20426810577177965,0.17209763409785864,False
Kumar et al. 2021,qwen32b,Age: 5) 55 - 64,3.3930028480269674,0.008904407534929291,5,2740,0.11068831159627741,0.18701471736096162,0.18541635055793415,0.1903369200526192,0.4808380068861817,False
